                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4274,                 1.5096,                 1.9733,                0.77389,                0.76196,                0.81605,                 0.4254,                 1.6533,                 1.3814,                 2.2646,              0.0012847,              0.0012847,              0.0012847
                     54,                 1.5071,                 1.5302,                 2.0262,                0.78687,                0.71825,                0.79278,                0.45719,                  1.554,                 1.4356,                 2.1907,              0.0012819,              0.0012819,              0.0012819
                     55,                 1.4313,                 1.4816,                 1.9678,                0.68528,                0.82592,                 0.8468,                0.47595,                 1.4243,                 1.2563,                 2.1383,               0.001279,               0.001279,               0.001279
                     56,                 1.4558,                 1.4742,                 1.9819,                0.78383,                0.74683,                0.81317,                0.43778,                 1.5575,                 1.3469,                 2.2662,              0.0012762,              0.0012762,              0.0012762
                     57,                 1.4883,                 1.5035,                  2.001,                0.70624,                0.64551,                0.69136,                0.35645,                 1.6132,                 1.5533,                 2.2448,              0.0012734,              0.0012734,              0.0012734
                     58,                 1.4479,                 1.3972,                 2.0322,                0.79967,                0.64592,                0.74175,                0.36141,                 1.7895,                  1.872,                 2.5554,              0.0012706,              0.0012706,              0.0012706
                     59,                 1.4537,                 1.4586,                 1.9888,                0.81625,                0.67659,                0.76481,                0.39854,                 1.7362,                 1.9292,                 2.4122,              0.0012677,              0.0012677,              0.0012677
                     60,                 1.4428,                 1.4175,                 1.9558,                0.86209,                0.71683,                0.83883,                0.46861,                 1.4579,                 1.1525,                 2.1471,              0.0012649,              0.0012649,              0.0012649
                     61,                 1.4128,                 1.3509,                 1.9377,                  0.866,                0.71588,                0.84669,                0.47269,                 1.6484,                 1.3109,                 2.2742,              0.0012621,              0.0012621,              0.0012621
                     62,                 1.4325,                 1.4054,                  1.941,                0.88694,                0.73964,                0.85249,                0.43876,                 1.6037,                 1.2091,                 2.2701,              0.0012592,              0.0012592,              0.0012592
                     63,                 1.4184,                 1.3937,                  1.923,                0.74551,                 0.7498,                0.81967,                0.42728,                 1.6906,                 1.2781,                 2.2915,              0.0012564,              0.0012564,              0.0012564
                     64,                 1.3803,                 1.3218,                 1.9309,                0.85159,                0.72578,                 0.8019,                0.46904,                 1.5548,                 1.4269,                 2.1414,              0.0012536,              0.0012536,              0.0012536
                     65,                 1.4017,                 1.2999,                  1.927,                0.86241,                0.78328,                0.87974,                0.45932,                 1.6913,                 1.1303,                 2.4044,              0.0012507,              0.0012507,              0.0012507
                     66,                 1.3911,                 1.3362,                 1.9174,                0.83122,                0.70984,                0.82525,                0.45057,                 1.6344,                 1.3596,                  2.217,              0.0012479,              0.0012479,              0.0012479
                     67,                 1.3815,                 1.3457,                 1.8883,                0.88354,                0.82147,                0.87006,                0.50062,                  1.459,                 1.1948,                 2.1028,              0.0012451,              0.0012451,              0.0012451
                     68,                 1.3427,                 1.3554,                 1.8904,                0.95889,                0.78477,                0.89471,                0.51064,                 1.5002,                 1.0339,                 2.1719,              0.0012423,              0.0012423,              0.0012423
                     69,                 1.3876,                 1.3478,                  1.887,                0.87613,                0.73989,                0.84955,                0.50027,                 1.4907,                 1.1117,                 2.1178,              0.0012394,              0.0012394,              0.0012394
                     70,                  1.339,                 1.2563,                 1.8461,                0.81057,                0.64683,                0.75967,                0.40076,                  1.681,                 1.3122,                 2.3558,              0.0012366,              0.0012366,              0.0012366
                     71,                 1.3772,                 1.2901,                 1.8682,                0.88732,                0.80838,                0.86838,                0.52214,                 1.3637,                 1.0672,                 1.9808,              0.0012338,              0.0012338,              0.0012338
                     72,                 1.3177,                  1.266,                  1.833,                0.91127,                 0.7202,                0.83749,                0.48706,                 1.6208,                 1.4475,                 2.2532,              0.0012309,              0.0012309,              0.0012309
                     73,                 1.3062,                 1.2032,                 1.8404,                0.85865,                0.77339,                0.88435,                0.50049,                 1.5594,                  1.011,                 2.2493,              0.0012281,              0.0012281,              0.0012281
                     74,                 1.3344,                 1.2483,                 1.8569,                0.90925,                0.83046,                0.88285,                0.52991,                 1.4064,                0.93792,                 2.0798,              0.0012253,              0.0012253,              0.0012253
                     75,                 1.3204,                 1.2501,                  1.842,                 0.8705,                0.77542,                0.87309,                0.51923,                 1.3746,                 1.1038,                 2.0556,              0.0012225,              0.0012225,              0.0012225
                     76,                 1.3159,                 1.1995,                 1.8352,                0.88145,                0.76939,                 0.8372,                0.47281,                 1.5809,                  1.433,                 2.2523,              0.0012196,              0.0012196,              0.0012196
                     77,                 1.3766,                 1.2361,                 1.8606,                0.87384,                 0.8383,                0.89387,                0.47866,                 1.6696,                 1.2543,                 2.4267,              0.0012168,              0.0012168,              0.0012168
                     78,                 1.3656,                 1.2305,                 1.8525,                0.87382,                0.84623,                0.92847,                0.55051,                 1.3817,                0.88114,                 2.0162,               0.001214,               0.001214,               0.001214
                     79,                 1.3332,                 1.2429,                 1.8785,                0.92329,                0.73417,                0.88054,                0.54068,                 1.4043,                 1.0173,                 2.1032,              0.0012111,              0.0012111,              0.0012111
                     80,                 1.3105,                 1.2325,                 1.8248,                0.81506,                0.85954,                0.90531,                0.53299,                  1.446,                0.95402,                 2.1162,              0.0012083,              0.0012083,              0.0012083
                     81,                 1.3084,                 1.2076,                 1.8229,                0.93899,                0.79212,                0.89655,                0.54718,                 1.2646,                0.96642,                 1.9053,              0.0012055,              0.0012055,              0.0012055
                     82,                 1.2954,                 1.1793,                 1.8152,                 0.8636,                0.80826,                0.88951,                 0.5395,                 1.4057,                 1.0516,                 2.0449,              0.0012026,              0.0012026,              0.0012026
                     83,                 1.3125,                 1.2409,                 1.8315,                 0.8935,                0.80834,                0.89962,                0.51812,                 1.5038,                0.95395,                 2.2218,              0.0011998,              0.0011998,              0.0011998
                     84,                 1.2843,                 1.2105,                 1.8069,                0.94001,                 0.8178,                0.87453,                0.49371,                 1.5506,                 1.0183,                 2.1048,               0.001197,               0.001197,               0.001197
                     85,                  1.296,                 1.1568,                 1.8083,                0.93868,                0.85507,                0.92012,                0.56126,                 1.2968,                0.86997,                 1.8979,              0.0011942,              0.0011942,              0.0011942
                     86,                 1.2864,                 1.1842,                  1.775,                0.82562,                0.78761,                0.85631,                0.46411,                  1.455,                 1.0678,                 2.0952,              0.0011913,              0.0011913,              0.0011913
                     87,                 1.2839,                 1.1897,                 1.7918,                0.94878,                0.83675,                0.89207,                0.52723,                 1.3602,                0.84616,                 2.0143,              0.0011885,              0.0011885,              0.0011885
                     88,                  1.287,                 1.1225,                 1.7952,                0.94099,                0.78974,                0.89068,                0.49582,                 1.5851,                 1.2236,                 2.1081,              0.0011857,              0.0011857,              0.0011857
                     89,                 1.3447,                 1.1871,                 1.8234,                0.92498,                0.81922,                0.90964,                0.51825,                 1.4495,                 1.1008,                 2.0623,              0.0011828,              0.0011828,              0.0011828
                     90,                 1.3523,                 1.2077,                 1.8431,                 0.8339,                0.82961,                0.89187,                0.53654,                  1.324,                0.95396,                 1.9593,                0.00118,                0.00118,                0.00118
                     91,                 1.2381,                 1.1576,                 1.7404,                0.90751,                0.80611,                0.90487,                0.53032,                 1.4663,                0.94814,                 2.1212,              0.0011772,              0.0011772,              0.0011772
                     92,                 1.2729,                 1.1006,                 1.7749,                 0.9525,                0.79669,                 0.8856,                0.53483,                   1.51,                0.97884,                 2.0908,              0.0011744,              0.0011744,              0.0011744
                     93,                 1.2807,                 1.1673,                 1.8079,                0.98631,                 0.7973,                0.93144,                0.54177,                 1.4491,                0.86959,                 2.0424,              0.0011715,              0.0011715,              0.0011715
                     94,                 1.2584,                 1.0958,                 1.7538,                0.89662,                0.80778,                 0.8826,                0.54411,                 1.3537,                0.90037,                 1.9384,              0.0011687,              0.0011687,              0.0011687
                     95,                 1.2401,                 1.0788,                 1.7552,                0.89625,                 0.8497,                0.94365,                0.54293,                 1.3574,                0.90833,                 1.9992,              0.0011659,              0.0011659,              0.0011659
                     96,                 1.2356,                 1.0742,                 1.7479,                0.93801,                 0.8426,                0.94452,                0.59423,                 1.3565,                0.90201,                 2.0637,               0.001163,               0.001163,               0.001163
                     97,                 1.2402,                 1.0618,                 1.7286,                0.90063,                0.80701,                0.92066,                0.53767,                 1.4334,                0.89499,                 2.0974,              0.0011602,              0.0011602,              0.0011602
                     98,                  1.227,                 1.0498,                 1.7104,                0.95952,                0.80779,                0.93343,                0.57603,                 1.3782,                0.87389,                 2.0353,              0.0011574,              0.0011574,              0.0011574
                     99,                 1.1869,                 1.0591,                 1.6956,                0.91724,                0.81737,                0.89314,                0.54993,                 1.4356,                0.87164,                 2.0344,              0.0011545,              0.0011545,              0.0011545
                    100,                  1.259,                 1.1178,                 1.7706,                0.94673,                0.85454,                 0.9325,                0.58576,                 1.3245,                0.85648,                 1.9682,              0.0011517,              0.0011517,              0.0011517
                    101,                 1.2291,                 1.0871,                 1.7183,                0.89933,                0.85456,                0.92602,                 0.5691,                 1.3298,                 0.8049,                 2.0096,              0.0011489,              0.0011489,              0.0011489
                    102,                  1.228,                 1.0587,                 1.7325,                0.92976,                0.90238,                0.94965,                0.59191,                 1.3654,                0.75354,                 2.0288,              0.0011461,              0.0011461,              0.0011461
                    103,                 1.2342,                  1.037,                 1.7534,                0.95607,                0.87311,                0.93755,                0.59338,                 1.4092,                0.80424,                 2.0381,              0.0011432,              0.0011432,              0.0011432
                    104,                 1.2197,                 1.0287,                 1.7101,                0.89778,                0.89162,                0.94198,                0.55644,                  1.612,                0.81508,                 2.2274,              0.0011404,              0.0011404,              0.0011404
                    105,                   1.21,                 1.0211,                 1.7095,                0.87408,                0.90241,                0.94804,                0.58752,                 1.2963,                0.84525,                 1.9692,              0.0011376,              0.0011376,              0.0011376
                    106,                 1.2313,                 1.0382,                 1.7218,                0.82215,                0.77555,                0.85139,                0.44859,                 1.7501,                 1.2309,                 2.3894,              0.0011347,              0.0011347,              0.0011347
                    107,                  1.223,                 1.0616,                 1.7268,                0.89525,                0.84711,                 0.9358,                 0.5594,                 1.3817,                0.79751,                 2.0252,              0.0011319,              0.0011319,              0.0011319
                    108,                 1.2645,                 1.0933,                  1.735,                0.91962,                0.81289,                0.92628,                0.56685,                  1.334,                0.84074,                 1.9502,              0.0011291,              0.0011291,              0.0011291
                    109,                 1.2253,                 1.0801,                 1.7198,                0.93365,                0.87134,                0.92375,                0.57577,                 1.2943,                0.72924,                 1.9428,              0.0011263,              0.0011263,              0.0011263
                    110,                 1.1785,                 1.0236,                 1.6833,                0.89916,                0.88172,                0.89846,                0.55691,                 1.3355,                0.76447,                  1.922,              0.0011234,              0.0011234,              0.0011234
                    111,                 1.1889,                 1.0032,                  1.678,                0.96664,                0.85322,                0.93385,                0.58757,                 1.3414,                0.79275,                 1.9327,              0.0011206,              0.0011206,              0.0011206
                    112,                 1.2032,                 1.0029,                 1.7021,                  0.923,                0.90857,                0.91727,                0.53885,                 1.4253,                0.79948,                 2.0985,              0.0011178,              0.0011178,              0.0011178
                    113,                 1.1644,                0.99633,                 1.6468,                0.91201,                0.85524,                0.91942,                0.54992,                 1.3573,                0.82618,                 2.0575,              0.0011149,              0.0011149,              0.0011149
                    114,                 1.1944,                 1.0429,                 1.6924,                0.88841,                0.90581,                0.94128,                0.58973,                 1.3115,                0.75597,                 1.9554,              0.0011121,              0.0011121,              0.0011121
                    115,                  1.143,                0.96304,                 1.6676,                0.96736,                0.85022,                0.94097,                0.60132,                 1.3043,                0.79004,                 1.9092,              0.0011093,              0.0011093,              0.0011093
                    116,                 1.1654,                0.96166,                 1.6536,                0.94375,                0.85805,                0.92112,                0.55467,                 1.3668,                0.78158,                 2.0067,              0.0011064,              0.0011064,              0.0011064
                    117,                 1.1797,                 1.0407,                 1.6893,                0.89375,                0.90387,                0.93339,                0.57135,                 1.3082,                0.74996,                 1.9336,              0.0011036,              0.0011036,              0.0011036
                    118,                 1.1576,                0.96397,                 1.6588,                0.89502,                0.79269,                0.88969,                0.50529,                 1.3398,                0.86783,                 1.9517,              0.0011008,              0.0011008,              0.0011008
                    119,                 1.1595,                0.92784,                 1.6524,                0.88709,                0.91335,                0.96523,                 0.5988,                 1.2879,                0.69754,                   1.92,               0.001098,               0.001098,               0.001098
                    120,                 1.1363,                 0.9169,                 1.6548,                 0.9436,                0.86732,                0.95658,                0.61592,                 1.2428,                0.69764,                 1.8717,              0.0010951,              0.0010951,              0.0010951
                    121,                 1.1892,                 1.0686,                 1.6774,                0.86133,                0.87002,                0.90963,                0.56812,                 1.2631,                0.85915,                  1.887,              0.0010923,              0.0010923,              0.0010923
                    122,                 1.1179,                0.93703,                 1.6106,                0.85723,                0.86288,                0.91763,                0.57279,                 1.3752,                0.82048,                 1.9797,              0.0010895,              0.0010895,              0.0010895
                    123,                 1.1865,                0.99698,                 1.6572,                0.89021,                0.83899,                0.91056,                 0.5586,                 1.3988,                0.78715,                 2.0224,              0.0010866,              0.0010866,              0.0010866
                    124,                 1.1949,                0.98908,                 1.6607,                 0.9463,                0.87094,                0.93108,                0.56991,                 1.3328,                0.75996,                 1.9185,              0.0010838,              0.0010838,              0.0010838
                    125,                 1.1342,                0.95094,                 1.6229,                0.92249,                0.85483,                0.93853,                0.58656,                 1.3608,                0.77138,                 2.0104,               0.001081,               0.001081,               0.001081
                    126,                 1.1656,                0.97662,                 1.6902,                0.90323,                 0.8951,                0.92157,                 0.5362,                 1.4218,                0.82144,                 2.0755,              0.0010782,              0.0010782,              0.0010782
                    127,                 1.1522,                0.99769,                 1.6502,                0.93088,                0.89997,                0.94635,                0.58094,                 1.3085,                0.72331,                 1.9305,              0.0010753,              0.0010753,              0.0010753
                    128,                 1.1365,                0.94564,                 1.6134,                0.93054,                0.89901,                0.95026,                0.58937,                   1.29,                0.71866,                 1.9725,              0.0010725,              0.0010725,              0.0010725
                    129,                 1.1273,                0.89677,                 1.6127,                0.82183,                0.91861,                0.94827,                0.61568,                  1.261,                0.74991,                 1.9597,              0.0010697,              0.0010697,              0.0010697
                    130,                 1.1809,                0.98666,                 1.6591,                0.95418,                0.87332,                0.94671,                0.60141,                 1.2792,                 0.6596,                 1.9345,              0.0010668,              0.0010668,              0.0010668
                    131,                 1.1343,                0.95646,                 1.6083,                0.93866,                0.79683,                0.93439,                0.58847,                 1.3069,                0.77214,                 1.9797,               0.001064,               0.001064,               0.001064
                    132,                 1.1354,                0.93368,                 1.6306,                0.94905,                0.88255,                0.93727,                0.57719,                 1.3524,                0.68527,                 1.9624,              0.0010612,              0.0010612,              0.0010612
                    133,                 1.1044,                 1.0001,                 1.6014,                0.86984,                0.82508,                0.89759,                0.56027,                 1.3391,                0.79716,                 1.9302,              0.0010583,              0.0010583,              0.0010583
                    134,                 1.0488,                0.86094,                 1.5472,                0.89534,                0.88782,                0.95463,                0.59204,                 1.2981,                0.69616,                 2.0523,              0.0010555,              0.0010555,              0.0010555
                    135,                 1.1267,                0.98634,                 1.6096,                0.94126,                0.86994,                0.95354,                0.60474,                  1.236,                 0.6762,                 1.8288,              0.0010527,              0.0010527,              0.0010527
                    136,                 1.1195,                0.95131,                 1.5954,                0.94963,                0.86253,                0.94526,                0.59729,                 1.3223,                0.69045,                 1.9945,              0.0010499,              0.0010499,              0.0010499
                    137,                 1.1192,                0.95038,                 1.6119,                0.90736,                0.88484,                0.96241,                0.60172,                 1.3607,                0.64012,                 2.0354,               0.001047,               0.001047,               0.001047
                    138,                  1.085,                0.89543,                 1.5731,                0.88506,                0.93059,                0.94615,                0.62297,                 1.2396,                0.71259,                 1.8605,              0.0010442,              0.0010442,              0.0010442
                    139,                  1.111,                0.89922,                 1.5723,                0.91104,                0.84184,                0.92431,                 0.5832,                 1.3012,                0.74782,                 1.9649,              0.0010414,              0.0010414,              0.0010414
                    140,                 1.1314,                0.91596,                 1.6161,                0.91992,                0.93945,                0.95888,                 0.6079,                 1.2706,                0.68833,                 1.9181,              0.0010385,              0.0010385,              0.0010385
                    141,                 1.0639,                0.81619,                 1.5733,                0.95785,                0.88631,                0.96196,                0.61768,                 1.3061,                0.73308,                 1.9258,              0.0010357,              0.0010357,              0.0010357
                    142,                 1.0682,                0.88268,                 1.5599,                0.91048,                0.74863,                0.88038,                0.56666,                 1.3312,                0.94892,                 1.9346,              0.0010329,              0.0010329,              0.0010329
                    143,                 1.1094,                0.90295,                 1.5899,                0.91517,                0.82243,                0.96318,                0.60861,                 1.3479,                0.79306,                  2.025,              0.0010301,              0.0010301,              0.0010301
                    144,                 1.1104,                0.90456,                 1.5911,                0.90767,                0.85914,                 0.9275,                0.60064,                 1.2603,                0.67623,                 1.8982,              0.0010272,              0.0010272,              0.0010272
                    145,                 1.0958,                0.86646,                 1.5737,                0.91978,                0.90933,                0.94552,                0.59069,                 1.2698,                0.65875,                  1.953,              0.0010244,              0.0010244,              0.0010244
                    146,                 1.1239,                 0.9524,                 1.6302,                0.91483,                0.87223,                 0.9573,                0.57927,                 1.4172,                 0.7063,                 2.0572,              0.0010216,              0.0010216,              0.0010216
                    147,                 1.0628,                 0.9064,                 1.5544,                0.90182,                0.87443,                0.94212,                0.57157,                 1.4957,                0.73436,                 2.0974,              0.0010187,              0.0010187,              0.0010187
                    148,                 1.0621,                0.87695,                 1.5565,                0.93793,                0.89669,                0.95917,                0.63111,                 1.2643,                0.63543,                 1.9431,              0.0010159,              0.0010159,              0.0010159
                    149,                 1.0477,                0.82301,                 1.5277,                0.92201,                 0.8927,                0.90058,                0.55129,                  1.319,                0.72029,                  1.993,              0.0010131,              0.0010131,              0.0010131
                    150,                 1.0749,                0.86659,                 1.5489,                0.91374,                0.88258,                0.91683,                 0.5569,                 1.3706,                0.72425,                 1.9938,              0.0010102,              0.0010102,              0.0010102
                    151,                 1.0531,                0.87049,                 1.5505,                0.92134,                0.86394,                 0.9353,                 0.5969,                 1.2938,                0.68673,                 1.9057,              0.0010074,              0.0010074,              0.0010074
